,3.1,1,1.1,0,1.2,kids,life_is_good,husband_work,2+3+1
696,3,1,1,0,2,1,0,0,3
697,8,1,1,0,1,3,1,1,1
698,1,0,1,0,1,1,1,1,3
699,1,1,1,0,3,1,0,1,4
700,1,1,1,0,2,1,1,2,3
701,6,1,1,0,2,2,1,0,4
702,2,1,0,0,3,1,0,1,3
703,4,1,1,0,1,2,0,1,4
704,1,1,1,0,3,1,0,1,4
705,2,1,1,0,3,1,1,0,4
706,4,0,0,0,2,2,1,1,4
707,1,1,0,0,2,1,1,0,4
708,1,0,1,0,2,1,1,1,4
709,4,1,1,1,1,2,0,1,1
710,2,1,1,0,2,1,1,0,3
711,1,1,1,0,1,1,0,1,3
712,3,1,1,0,3,1,0,1,3
713,6,1,0,0,3,2,0,1,2
714,3,0,1,0,2,1,1,0,4
715,3,1,1,1,3,1,1,2,2
716,3,1,0,0,2,1,1,1,4
717,1,1,1,0,3,1,0,0,4
718,2,1,0,0,3,1,1,0,4
719,2,1,1,0,2,1,0,1,3
720,2,1,1,0,2,1,1,0,3
721,6,1,1,0,3,2,0,1,4
722,2,0,1,0,3,1,1,0,4
723,2,1,1,0,1,1,0,1,1
724,4,0,1,1,1,2,0,1,3
725,6,1,1,0,1,2,1,1,1
726,3,1,0,0,3,1,1,1,3
727,0,0,1,0,1,1,1,0,4
728,2,1,0,0,3,1,0,1,2
729,4,1,1,0,1,2,1,1,3
730,2,1,1,1,1,1,0,1,1
731,1,1,0,0,1,1,0,1,3
732,0,1,1,0,1,1,0,1,2
733,5,1,1,0,1,2,1,0,4
734,2,1,1,0,2,1,1,0,3
735,2,1,1,0,1,1,0,1,1
736,1,0,1,0,1,1,0,1,3
737,3,0,1,0,2,1,1,1,4
738,5,0,1,0,2,2,0,0,3
739,1,1,1,0,1,1,0,0,2
740,5,1,1,0,3,2,1,0,3
741,0,1,1,0,1,1,1,1,4
742,2,1,0,0,1,1,0,1,3
743,3,1,1,0,1,1,0,1,1
744,3,1,1,0,1,1,0,1,1
745,5,1,1,0,3,2,0,1,2
746,6,1,1,0,1,2,0,1,2
747,4,1,1,0,2,2,0,1,4
748,7,1,1,0,3,3,1,1,3
749,1,1,1,0,1,1,0,0,4
750,1,1,1,0,2,1,1,0,4
751,6,1,0,0,1,2,0,1,0
752,3,1,1,0,1,1,1,1,2
753,0,1,0,0,1,1,1,0,4
754,5,1,1,0,1,2,0,1,0
755,4,0,0,0,2,2,1,1,4
756,1,1,1,1,1,1,1,1,1
757,5,1,1,0,3,2,1,1,1
758,7,0,1,0,2,3,0,1,3
759,1,0,1,0,1,1,0,1,4
760,5,0,1,0,1,2,0,1,3
761,3,0,1,0,1,1,1,0,4
762,2,0,1,0,3,1,1,1,3
763,3,0,0,0,2,1,1,0,4
764,3,1,1,1,3,1,0,1,1
765,3,1,1,0,3,1,0,1,3
766,2,1,0,0,1,1,0,0,1
767,3,1,1,0,3,1,0,1,3
768,1,1,0,0,3,1,0,1,4
769,0,1,1,0,1,1,1,1,1
770,3,1,1,0,3,1,1,0,3
771,2,0,0,0,3,1,0,1,4
772,4,0,1,0,2,2,1,0,4
773,6,1,1,0,2,2,0,1,3
774,1,1,1,0,1,1,0,1,1
775,5,1,1,0,1,2,1,2,2
776,6,1,1,0,3,2,1,1,3
777,4,1,1,0,3,2,0,0,3
778,6,1,1,0,2,2,1,1,4
779,3,1,1,0,3,1,0,1,2
780,2,1,1,0,3,1,0,1,3
781,0,1,1,0,1,1,0,1,1
782,4,1,1,0,3,2,0,1,4
783,10,1,0,0,1,3,1,1,1
784,1,1,1,0,1,1,1,0,4
785,2,1,1,0,1,1,0,1,2
786,2,1,1,0,3,1,0,1,2
787,2,1,1,0,1,1,0,1,3
788,3,1,1,0,3,1,0,1,3
789,1,1,1,0,3,1,0,0,4
790,0,1,0,0,1,1,1,1,4
791,3,1,1,0,2,1,1,0,4
792,9,1,1,0,1,3,0,1,2
793,11,1,0,1,1,3,0,1,2
794,9,1,1,0,1,3,0,0,2
795,6,1,1,0,1,2,0,0,4
796,3,1,1,0,2,1,1,0,4
797,6,1,1,0,1,2,1,1,1
798,2,1,1,1,1,1,0,0,3
799,2,1,0,0,2,1,0,1,3
800,0,1,1,0,1,1,1,1,4
801,1,1,1,0,3,1,0,1,3
802,3,1,1,0,3,1,1,1,3
803,2,1,1,1,1,1,0,1,1
804,4,0,1,0,2,2,1,1,3
805,3,1,1,0,1,1,0,0,4
806,3,1,1,0,3,1,0,1,3
807,0,1,0,0,1,1,1,0,4
808,6,1,0,0,3,2,0,1,2
809,4,1,1,1,1,2,0,1,2
810,8,1,1,1,1,3,0,1,1
811,3,0,0,0,1,1,0,0,4
812,5,1,1,0,1,2,0,1,3
813,7,1,1,1,1,3,0,1,0
814,3,1,1,0,2,1,1,0,4
815,3,1,0,0,2,1,1,0,4
816,4,1,1,0,1,2,1,0,3
817,3,1,1,0,3,1,1,1,3
818,6,0,1,1,3,2,0,0,4
819,3,1,1,0,3,1,0,0,3
820,3,1,1,0,2,1,1,0,4
821,4,0,1,0,2,2,1,1,4
822,8,1,0,0,1,3,0,1,1
823,1,1,1,0,1,1,0,1,2
824,4,0,1,0,2,2,1,0,4
825,3,1,1,0,3,1,1,0,4
826,5,1,1,0,3,2,1,0,4
827,1,0,1,0,2,1,1,0,4
828,1,1,1,0,1,1,0,1,1
829,4,0,1,0,2,2,1,1,4
830,3,1,1,0,2,1,1,0,3
831,8,1,1,0,1,3,0,1,3
832,5,1,1,1,2,2,0,1,2
833,2,1,1,0,3,1,0,1,2
834,6,1,1,0,1,2,1,0,3
835,7,1,0,0,2,3,1,0,4
836,4,1,1,0,2,2,1,1,3
837,2,0,1,0,2,1,0,0,3
838,6,1,1,0,2,2,1,0,4
839,2,1,0,0,3,1,0,1,4
840,1,0,1,0,3,1,1,0,4
841,11,0,1,1,1,3,0,1,2
842,5,1,0,0,2,2,0,1,1
843,5,1,1,0,2,2,1,1,3
844,5,1,1,0,1,2,0,1,3
845,1,1,0,1,2,1,0,2,2
846,1,0,1,0,1,1,1,1,4
847,3,1,1,0,1,1,1,0,3
848,2,1,1,0,1,1,1,1,3
849,4,0,0,0,2,2,1,1,4
850,0,1,1,0,1,1,0,1,2
851,1,1,1,0,3,1,1,1,4
852,2,1,0,0,1,1,1,1,3
853,8,1,0,1,1,3,0,1,0
854,0,1,1,0,1,1,1,1,2
855,6,1,1,0,1,2,1,0,3
856,5,1,1,0,3,2,0,2,2
857,0,1,1,1,1,1,0,1,4
858,4,0,0,0,2,2,1,1,3
859,3,1,0,0,1,1,1,1,3
860,4,1,1,0,2,2,1,0,4
861,1,1,1,0,1,1,1,1,3
862,3,1,1,0,3,1,1,0,4
863,2,1,1,0,2,1,0,1,2
864,2,1,1,0,1,1,0,0,4
865,4,0,1,0,3,2,0,1,4
866,6,1,1,1,1,2,0,1,1
867,10,1,1,0,1,3,0,1,1
868,4,1,1,0,3,2,0,1,3
869,2,1,0,1,1,1,0,1,1
870,5,1,0,0,3,2,1,1,3
871,4,1,0,0,3,2,0,1,3
872,3,0,1,0,3,1,1,1,4
873,11,1,1,0,1,3,1,0,3
874,8,1,1,1,1,3,0,1,1
875,1,1,1,0,1,1,0,1,2
876,1,1,1,0,1,1,0,1,3
877,1,1,0,0,1,1,1,1,3
878,1,1,1,0,1,1,1,0,4
879,2,1,1,0,3,1,0,1,3
880,0,1,1,0,1,1,0,0,3
881,9,1,0,0,1,3,0,1,1
882,1,1,1,0,1,1,0,1,3
883,5,1,0,1,1,2,0,1,1
884,3,1,1,0,3,1,0,1,4
885,1,1,1,1,1,1,0,1,1
886,3,1,1,0,1,1,0,1,3
887,3,1,1,0,1,1,1,0,4
888,1,1,0,0,1,1,0,0,4
889,2,1,1,0,3,1,0,1,4
890,4,1,1,0,2,2,0,0,2
891,3,1,1,0,2,1,1,0,4
892,1,1,0,0,1,1,1,0,4
893,1,1,1,0,1,1,0,1,2
894,4,1,1,0,2,2,1,0,4
895,2,1,1,0,3,1,0,1,3
896,2,0,1,0,2,1,1,0,4
897,4,1,1,0,3,2,1,1,2
898,4,1,1,0,2,2,0,1,3
899,2,1,0,1,1,1,0,1,1
900,4,0,1,0,1,2,1,1,2
901,2,1,1,0,1,1,1,1,4
902,2,1,0,0,2,1,1,1,4
903,1,1,0,0,1,1,1,2,3
904,10,1,1,0,1,3,0,1,3
905,1,1,1,0,3,1,0,1,4
906,5,0,0,0,2,2,1,0,4
907,1,1,1,0,1,1,0,1,3
908,2,1,1,0,2,1,1,0,3
909,1,1,1,0,3,1,1,0,4
910,4,1,1,0,3,2,0,1,3
911,6,1,1,0,2,2,1,0,4
912,3,1,1,0,1,1,0,1,2
913,2,1,1,0,3,1,1,1,4
914,2,1,1,0,1,1,0,1,4
915,3,1,1,0,3,1,0,1,4
916,3,1,0,0,1,1,1,1,3
917,1,1,1,0,3,1,0,1,3
918,5,1,1,0,2,2,0,0,4
919,0,1,1,0,1,1,0,1,3
920,5,1,1,0,3,2,0,0,3
921,1,0,0,0,1,1,0,1,4
922,4,1,1,0,3,2,0,1,1
923,5,1,0,0,3,2,1,0,4
924,3,1,0,0,2,1,1,0,4
925,3,1,1,0,2,1,1,0,4
926,1,0,1,0,3,1,0,1,3
927,8,1,1,0,1,3,1,0,2
928,5,0,1,0,3,2,1,1,4
929,1,1,1,0,1,1,1,0,4
930,1,1,1,0,3,1,0,1,4
931,6,1,1,0,3,2,1,1,2
932,5,1,0,1,2,2,0,0,3
933,1,1,1,0,3,1,0,1,3
934,9,1,1,0,2,3,0,1,1
935,9,1,0,0,3,3,1,1,2
936,1,1,1,0,3,1,1,0,4
937,1,1,1,0,1,1,0,1,2
938,2,1,1,0,3,1,0,0,3
939,1,1,1,0,3,1,0,1,4
940,6,1,1,0,2,2,1,1,1
941,8,1,0,0,3,3,1,0,3
942,9,1,1,0,3,3,0,1,2
943,3,1,1,0,1,1,1,1,4
944,3,1,0,0,3,1,0,1,3
945,3,1,1,0,3,1,0,1,3
946,1,1,1,0,3,1,0,1,2
947,4,1,0,0,2,2,1,0,4
948,5,1,0,0,3,2,1,1,2
949,13,1,1,0,2,3,0,1,3
950,3,1,1,0,3,1,0,1,3
951,3,0,0,0,1,1,0,1,4
952,1,1,1,0,3,1,0,1,4
953,6,0,1,0,2,2,1,1,3
954,1,1,1,0,3,1,0,1,3
955,1,0,1,0,3,1,1,1,3
956,4,1,1,1,1,2,1,1,1
957,1,1,1,1,1,1,0,1,3
958,4,1,0,0,1,2,1,1,1
959,2,1,1,0,1,1,0,0,3
960,0,1,0,0,1,1,0,1,3
961,2,1,1,0,1,1,0,1,4
962,2,0,0,0,2,1,1,1,4
963,3,1,1,0,1,1,1,1,2
964,2,0,1,0,1,1,1,0,4
965,5,1,0,0,3,2,0,1,2
966,6,1,1,1,1,2,0,1,2
967,1,0,1,0,2,1,0,1,4
968,1,1,1,0,1,1,0,0,2
969,0,1,0,0,1,1,0,1,3
970,4,1,1,0,3,2,0,1,1
971,5,1,0,0,2,2,1,0,4
972,7,1,1,1,1,3,0,1,1
973,8,1,1,0,3,3,1,1,3
974,5,0,1,0,2,2,0,1,3
975,1,1,1,0,1,1,0,0,3
976,3,1,1,0,1,1,1,1,1
977,1,1,1,0,1,1,1,1,4
978,3,0,1,0,3,1,1,1,4
979,4,0,0,0,2,2,1,1,4
980,6,1,1,0,3,2,0,1,3
981,0,1,1,0,1,1,1,0,4
982,5,1,1,0,3,2,1,1,4
983,7,1,1,0,1,3,1,1,1
984,2,1,1,0,3,1,1,1,4
985,7,1,1,0,1,3,0,1,0
986,7,1,1,0,1,3,1,1,2
987,5,1,1,0,3,2,0,1,2
988,3,0,0,0,3,1,1,1,4
989,3,1,1,0,1,1,1,0,4
990,5,1,1,0,1,2,0,1,1
991,2,1,1,0,1,1,0,1,3
992,4,1,0,0,2,2,1,0,4
993,6,1,1,1,1,2,0,1,1
994,3,1,1,0,3,1,0,1,1
995,7,0,1,0,1,3,1,1,4
996,2,1,1,0,1,1,0,1,3
997,2,1,1,0,3,1,1,1,3
998,2,1,1,1,1,1,0,1,1
999,12,1,1,0,1,3,0,1,1
1000,4,1,1,0,1,2,0,1,2
1001,4,1,0,0,3,2,1,2,1
1002,4,1,1,0,3,2,1,1,3
1003,4,1,1,0,1,2,0,1,4
1004,1,1,0,0,1,1,0,0,4
1005,0,0,1,0,1,1,0,0,4
1006,3,1,1,0,3,1,1,1,3
1007,3,1,1,1,3,1,0,2,0
1008,2,1,1,0,1,1,0,1,2
1009,3,1,1,1,3,1,0,1,3
1010,4,1,1,0,2,2,0,0,3
1011,1,1,1,0,3,1,0,1,3
1012,2,1,1,0,3,1,1,0,4
1013,0,1,1,0,1,1,0,1,3
1014,1,1,1,0,1,1,1,1,2
1015,4,1,0,0,3,2,1,1,3
1016,4,0,1,0,1,2,1,1,3
1017,8,0,1,0,2,3,1,0,4
1018,1,1,1,0,3,1,0,1,4
1019,1,1,1,0,3,1,0,1,1
1020,3,1,1,0,3,1,0,1,3
1021,6,1,1,0,3,2,1,1,4
1022,2,1,1,0,3,1,0,1,4
1023,1,1,1,0,1,1,1,1,3
1024,3,0,1,0,1,1,0,1,2
1025,7,1,1,0,2,3,0,1,4
1026,1,1,0,0,1,1,1,1,3
1027,1,1,1,0,1,1,1,1,2
1028,2,1,0,0,2,1,0,0,4
1029,6,1,1,0,2,2,1,1,3
1030,3,1,1,1,3,1,0,1,1
1031,3,1,1,0,3,1,0,1,3
1032,3,0,0,0,2,1,1,1,4
1033,3,1,1,0,3,1,0,1,3
1034,8,1,1,0,1,3,0,1,3
1035,9,1,1,0,3,3,1,1,3
1036,0,1,1,0,1,1,0,1,3
1037,4,1,0,0,1,2,0,1,2
1038,1,0,1,0,1,1,1,0,4
1039,1,1,1,0,3,1,0,1,2
1040,4,1,1,0,1,2,0,1,1
1041,2,1,1,0,2,1,0,1,3
1042,10,1,1,0,1,3,0,0,4
1043,4,1,1,0,2,2,0,0,4
1044,6,0,1,0,2,2,1,1,4
1045,3,0,1,0,2,1,1,1,4
1046,1,0,1,0,1,1,1,1,3
1047,2,0,1,0,2,1,1,1,3
1048,2,1,0,0,3,1,0,1,4
1049,6,1,1,0,2,2,0,0,4
1050,1,1,1,0,3,1,0,0,4
1051,5,1,1,0,3,2,1,1,1
1052,4,1,1,0,2,2,1,0,1
1053,7,1,0,0,1,3,0,1,1
1054,5,1,1,0,3,2,1,0,4
1055,2,0,1,0,3,1,1,1,3
1056,5,0,1,0,1,2,1,1,1
1057,1,1,0,0,1,1,1,1,3
1058,1,1,1,0,3,1,0,1,3
1059,2,1,1,0,1,1,0,1,2
1060,4,1,0,0,1,2,1,1,2
1061,4,1,1,0,3,2,1,1,1
1062,5,1,0,1,1,2,0,1,1
1063,0,0,1,0,1,1,1,1,4
1064,5,1,1,0,3,2,1,1,4
1065,4,0,0,0,2,2,1,1,4
1066,4,1,0,0,3,2,0,1,3
1067,3,0,1,0,1,1,1,1,3
1068,4,1,1,0,3,2,0,1,1
1069,3,0,1,0,1,1,1,1,4
1070,5,1,0,0,3,2,1,1,3
1071,3,1,0,0,1,1,0,1,1
1072,5,1,1,0,3,2,0,1,4
1073,3,0,1,0,3,1,1,1,4
1074,1,1,1,0,2,1,1,1,3
1075,1,0,1,0,3,1,0,1,4
1076,0,0,0,0,1,1,0,1,4
1077,2,1,0,0,1,1,1,1,0
1078,5,0,1,0,1,2,0,1,1
1079,1,1,1,0,3,1,0,1,3
1080,2,1,1,0,3,1,1,0,4
1081,2,1,1,0,3,1,0,1,2
1082,0,1,1,0,1,1,0,1,2
1083,3,1,1,1,1,1,0,1,3
1084,4,1,0,0,3,2,1,0,4
1085,5,1,1,0,3,2,0,1,2
1086,4,1,1,0,1,2,0,0,3
1087,5,1,1,0,1,2,0,0,2
1088,0,1,1,0,1,1,0,1,0
1089,2,1,1,0,1,1,0,1,3
1090,2,0,0,0,3,1,1,1,4
1091,1,1,0,0,2,1,0,1,4
1092,1,1,1,0,1,1,1,1,3
1093,0,1,1,0,1,1,0,1,1
1094,6,1,1,0,2,2,0,1,4
1095,4,1,1,0,1,2,0,1,2
1096,4,1,1,0,2,2,0,1,4
1097,7,1,1,0,1,3,0,1,3
1098,1,1,1,0,3,1,1,1,3
1099,1,1,1,0,3,1,1,1,3
